TitreId,filmoId,typeTitreId,prefixe,titre
807,796,1,El,Proiezionista
810,802,1,,Analyse fatale
811,802,1,,Sang chaud pour meurtre de sang froid
812,804,1,La,Dame de coeur
813,806,1,,Trumpet Number 7
816,809,1,L',Étranger
817,809,1,The,Demi-Paradise
818,811,1,,48 Hours
819,813,1,,Ceux qui servent en mer
820,814,1,Le,Convoi
821,815,1,,Plongée à l'aube
822,816,1,,Un de nos avions n'est pas rentré
823,817,1,L',Héroïque parade
824,818,1,Le,Navire en feu
825,823,1,,I Was a Fireman
826,825,1,A,City Prepares
827,833,1,,Double assassinat dans la rue Morgue
828,834,1,,Une étrange soirée
829,835,1,La,Momie
830,837,1,L',Homme invisible
831,838,1,Le,Chat noir
832,844,1,La,Fiancée de Frankenstein
833,846,1,Le,Corbeau
834,849,1,La,Fille de Dracula
836,857,1,La,Femme invisible
838,864,1,Le,Loup garou
839,873,1,,Sherlock Holmes et l'arme secrète
840,874,1,Le,Reporter-rouge
841,875,1,Le,Meneur
842,876,1,,Surgery Room
843,877,1,,Frankenstein rencontre le loup-garou
844,878,1,,Sherlock Holmes à Washington
846,881,1,,Échec à la mort
847,882,1,,Obsessions
848,886,1,La,Femme aux araignées
849,886,1,The,Spider Woman
850,888,1,,Bad Blood
851,892,1,Les,Jours et les nuits de China Blue
852,894,1,,Boulevard du crépuscule
853,897,1,Le,Voleur de Bagdad
854,898,1,Les,Contes d'Hoffmann
855,900,1,The,King and the Mockingbird
856,904,1,,Ceux de chez nous
857,905,1,,Heureux mortels
858,906,1,La,Ville écartelée
859,909,1,La,Couleur pourpre
860,910,1,,Un héros comme tant d'autres
861,911,1,Le,Barattage
862,911,1,The,Churning
863,911,1,,Mathan
864,913,1,La,Dame du vendredi
865,914,1,,Scoop
866,919,1,La,Patrouille de l'aube
867,921,1,,Coeurs brûlés
868,926,1,L',Ennemi public
869,927,1,,Une tragédie humaine
870,928,1,Le,Passeport jaune
871,934,1,,"Tarzan, l'homme-singe"
873,940,1,La,Belle de Saigon
874,944,1,,Jenny Frisco
875,945,1,Le,Thé amer du général Yen
878,951,1,,Cesarea
881,953,1,Le,Joyeux bandit
882,954,1,Le,Vandale
883,955,1,,Théodora devient folle
884,957,1,La,Dame aux camélias
