person,personLabel,distinction,distinctionLabel,date
http://data.cinematheque.qc.ca/resource/Person18771,Janine Sutto,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person42162,Gilles Latulippe,http://www.wikidata.org/entity/Q21672796,grand officier de l'ordre de la Pléiade,2015-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person42162,Gilles Latulippe,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2009-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person22935,Dominique Besnehard,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2014-07-09T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person22935,Dominique Besnehard,http://www.wikidata.org/entity/Q10855195,officier de la Légion d'honneur,2017-04-14T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person22935,Dominique Besnehard,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,2004-07-13T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41108,Fernand Dansereau,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2018-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person41108,Fernand Dansereau,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2005-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person145558,Wyclef Jean,http://www.wikidata.org/entity/Q28801919,grand officier de l'ordre national Honneur et mérite,2011-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person49929,René-Daniel Dubois,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1984-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person32058,Louise Portal,http://www.wikidata.org/entity/Q21672149,chevalier de l'ordre de la Pléiade,2003-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person37615,Jacques Godin,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2017-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person53932,Louise Marleau,http://www.wikidata.org/entity/Q21672149,chevalier de l'ordre de la Pléiade,2006-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person53932,Louise Marleau,http://www.wikidata.org/entity/Q547316,prix Génie de la meilleure actrice,1984-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person53932,Louise Marleau,http://www.wikidata.org/entity/Q547316,prix Génie de la meilleure actrice,1986-01-01T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person99956,Daniel Bélanger,http://www.wikidata.org/entity/Q6314077,prix Juno de l'album francophone de l'année,2018-03-25T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person49200,Max von Sydow,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,2012-10-17T00:00:00Z
http://data.cinematheque.qc.ca/resource/Person49200,Max von Sydow,http://www.wikidata.org/entity/Q10684929,Svenska Akademiens teaterpris,1968-01-01T00:00:00Z
